id|survey_taker_id_id|response_json|survey_id|timestamp|comment_location|survey_metadata_id
44|56|{"slider": 1, "AfterToll": ["other"], "BiggestConcern": ["That it will never be completed", "That it will cost too much", "That EDC contamination will cause problems", "other"], "DriveOnCalcasieu": "0 days per week", "DriveOnStudyArea": "0 days per week", "WhatCausesStress": ["other"], "AfterToll-Comment": "Personally I dont have a problem with tolls. That is not the issue here.", "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "No Build", "BiggestConcern-Comment": "I am Louisiana taxpayer. I do not want my tax money going to build more bridges. Clean up the EDC and either use the 210 or use another detour. More bridges is simply more pork, more cement, more greenhouse gasses.", "WhatCausesStress-Comment": "Greenhouse gas emissions. EDC contamination"}|1|2021-03-25 19:00:34.793983+00|[]|1
4|14|{"slider": 2, "AfterToll": ["Take I-210 as an alternate route across the river", "Never drive across the bridge again"], "OtherComments": "Why not build a second, parallel bridge like they did in Bridge City TX (Rainbow Bridge) and make each bridge a one-way eastbound and westbound bridge? That would half the number of travelers on the old bridge, allowing it more safe, functional life.", "BiggestConcern": ["That the bridge(s) will be tolled", "other"], "DriveOnCalcasieu": "1-2 days per week", "DriveOnStudyArea": "1-2 days per week", "WhatCausesStress": ["Traffic congestion", "Unpredictable slowdowns or stoppages", "Trucks", "Other drivers"], "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "Alternative 3E", "BiggestConcern-Comment": "Local residents should not pay tolls to go to work, school, or doctors. Interstate and intrastate travelers should pay the tolls."}|1|2021-01-06 18:58:43.030087+00|"[{"x": -93.33627335516185, "y": 30.230384115329592, "type": "home"}, {"x": -93.23499314275968, "y": 30.16658722042344, "type": "work"}]|1
5|14|{"slider": 2, "AfterToll": ["Take I-210 as an alternate route across the river", "Never drive across the bridge again"], "OtherComments": "Your website doesnt allow me or others to enter multiple work locations. I just went back on and entered my email for replies, and entered my other employer Sowela (first pass Id entered employer USPS Drew Station on Lake St). I hope my first survey saved my comment that no tolls should be required of local residents; interstate/intrastate travelers should pay.", "BiggestConcern": ["That the bridge(s) will be tolled"], "DriveOnCalcasieu": "1-2 days per week", "DriveOnStudyArea": "1-2 days per week", "WhatCausesStress": ["Unpredictable slowdowns or stoppages", "Traffic congestion", "Trucks", "Other drivers"], "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "Alternative 3E"}|1|2021-01-06 19:06:28.092985+00|"[{"x": -93.33644501653883, "y": 30.230087481301066, "type": "home"}, {"x": -93.16177956548924, "y": 30.21770221205206, "type": "work"}]|1
7|16|{"slider": 4, "AfterToll": ["Take I-210 as an alternate route across the river", "Take US 171 and LA 378 as an alternate route across the river", "Buy a toll tag or toll pass for frequent user discount", "Limit the number of trips across the river"], "OtherComments": "We also need to raise the railroad where it crosses the river", "BiggestConcern": ["That it will never be completed", "That it will impact navigation", "That the bridge(s) will be tolled", "That it will take my property"], "DriveOnCalcasieu": "3-5 days per week", "DriveOnStudyArea": "3-5 days per week", "WhatCausesStress": ["Traffic congestion", "Unpredictable slowdowns or stoppages", "Trains"], "DriveSulphurAvenue": "6-7 days per week", "PreferredAlternative": "Alternative 3A"}|1|2021-01-18 14:10:14.600944+00|"[{"x": -93.25025482987373, "y": 30.24163442173725}, {"x": -93.2502303828106, "y": 30.241655541774087}, {"x": -93.25032817106315, "y": 30.241993461746155}, {"x": -93.23019573674588, "y": 30.25430615524317, "type": "home"}, {"x": -93.24939370903115, "y": 30.241505464554574, "type": "work"}]|1
8|17|{"slider": 2, "AfterToll": ["Take I-210 as an alternate route across the river"], "OtherComments": "Options 3 A and 3 E call for a second bridge when we have needed 1 bridge for over 30 years and that doesn’t seem to be able to get done.  What about highway taxes collected for years and haven’t been applied properly ", "BiggestConcern": ["That the bridge(s) will be tolled", "That it will never be completed"], "DriveOnCalcasieu": "6-7 days per week", "DriveOnStudyArea": "6-7 days per week", "WhatCausesStress": ["Traffic congestion", "Reduced speeds", "Entering and exiting the interstate", "Unpredictable slowdowns or stoppages", "Trucks"], "DriveSulphurAvenue": "1-2 days per week", "PreferredAlternative": "Alternative 3E"}|1|2021-01-21 02:08:43.788743+00|"[{"x": -93.20037161322921, "y": 30.223848196533726, "type": "work"}, {"x": -93.3277508403257, "y": 30.225466229612653, "type": "home"}]|1
39|48|{"slider": 3, "AfterToll": ["Limit the number of trips across the river"], "OtherComments": "I recognize the bridge needs to be replaced and updated, but I am opposed to tolls as a means of financing the build.  We have enough trucks that drive over the bridge that can be charged a tax to cover initial build and continued maintenance.  The municipalities can construct a passive tag system that monitors all trucks coming and going through infrared technology and bill the employer at the end of each quarter.  The tax the employer incurred will be passed to its customers and clients as it does all other costs incurred while doing business.  The parish can place an ordinance for a small increase in gas taxes for 10 - 20 years, without being renewed, to pay for the increased cost to repair the bridge.  The toxic remediation should be charged to all of the pollutant companies along the Calcasieu River for clean up.  ", "BiggestConcern": ["That the bridge(s) will be tolled"], "DriveOnCalcasieu": "3-5 days per week", "DriveOnStudyArea": "3-5 days per week", "WhatCausesStress": ["Trucks", "Steep grades"], "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "Alternative 3E"}|1|2021-01-25 18:39:22.343336+00|"[{"x": -93.18516993684167, "y": 30.253264096905593, "type": "home"}, {"x": -93.18415740293855, "y": 30.253496801317986, "type": "work"}]|1
40|52|{"slider": 3, "AfterToll": ["other"], "OtherComments": "Hi - Internal test of SCOUT.  Thanks! ", "BiggestConcern": ["I do not have any concerns"], "DriveOnCalcasieu": "0 days per week", "DriveOnStudyArea": "0 days per week", "WhatCausesStress": ["I am not stressed while driving in the study area"], "AfterToll-Comment": "N/A", "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "I do not have a preference"}|1|2021-01-28 19:47:18.392629+00|[]|1
41|53|{"slider": 5, "AfterToll": ["Take I-210 as an alternate route across the river"], "OtherComments": "TEST", "BiggestConcern": ["That it will never be completed"], "DriveOnCalcasieu": "0 days per week", "DriveOnStudyArea": "0 days per week", "WhatCausesStress": ["Unpredictable slowdowns or stoppages"], "DriveSulphurAvenue": "1-2 days per week", "PreferredAlternative": "I do not have a preference"}|1|2021-03-18 16:15:13.086241+00|[]|1
42|54|{"slider": 2, "AfterToll": ["Take I-210 as an alternate route across the river"], "OtherComments": "I think someone should take a trip to Texas and look at the sunshine bridge and the new bridge they built. They rehabbed the sunshine bridge and made it one way and the newer bridge runs traffic the opposite direction. ", "BiggestConcern": ["That it will never be completed"], "DriveOnCalcasieu": "3-5 days per week", "DriveOnStudyArea": "3-5 days per week", "WhatCausesStress": ["Unpredictable slowdowns or stoppages"], "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "I do not have a preference"}|1|2021-03-22 17:57:35.477217+00|"[{"x": -93.35430729531038, "y": 30.21892244355147, "type": "work"}]|1
43|55|{"slider": 1, "AfterToll": ["Take US 171 and LA 378 as an alternate route across the river"], "OtherComments": "Comment for the DOTD online public ZOOM meeting to be held March 25, 2021 Submitted by Michael Tritico, P.O. Box 233, Longville, LA  70652  The most sensible alternative is not presented and may not have been considered.  That alternative would add about 5 miles to the trip between Welsh and Vinton but it would completely bypass the urban/I-10 Bridge bottleneck that exists from Chloe to West Sulphur.    Here is a description of a practical flat route that would make it unnecessary to build a new bridge in the EDC-contaminated zone:    The “North Bypass” would take off to from just west of Welsh, go northwest about 9 miles to a cloverleaf at U.S. Highway 165 south of Fenton, then turn west, go along the existing high ground to avoid as much wetland disruption as possible, cross with only slightly-elevated bridges Bayou Serpent and the Calcasieu River, (a distance for this segment of about 11 miles), then proceed another 6 miles to a cloverleaf at U.S. Highway 171 south of Gillis, proceed westward another 5 miles to again, a low-level crossing of Hickory Branch and then go four miles to a cloverleaf at Louisiana State Highway 27 north of Sulphur, then turn southwesterly for about 15 miles to rejoin Interstate 10 just east of Vinton.    That is a 50 mile route, about 5 miles longer than the existing route between one end of the bottleneck to the other.  The enhancement of safety for motorists, the reduction in energy wastage on steep slopes and from stop and go situations all make a flat bypass north of the current route more logical than are the alternatives presented even given the extra 5 miles of travel required.    Furthermore, the route and the cloverleaves described above would simplify trips to and from places like Alexandria, Kinder, DeRidder, Houston, and New Orleans  by removing the need to navigate the Calcasieu metropolitan area.   A much more efficient highway system will also diminish greenhouse gases.  ", "BiggestConcern": ["That it will never be completed", "That EDC contamination will cause problems", "other"], "DriveOnCalcasieu": "0 days per week", "DriveOnStudyArea": "1-2 days per week", "WhatCausesStress": ["Traffic congestion", "Unpredictable slowdowns or stoppages", "Entering and exiting the interstate", "Steep grades", "Sharp curves", "Reduced speeds", "Other drivers"], "DriveSulphurAvenue": "0 days per week", "PreferredAlternative": "No Build", "BiggestConcern-Comment": "wrong route, alternatives sustain backward thinking"}|1|2021-03-23 00:53:17.883046+00|"[{"x": -93.16764920797138, "y": 30.87179653347766, "type": "home"}]|1
