{'es': '', 'default': 'What is most important to you when thinking about a new transit investment in your community? (select 1)'};NOTITLE;{'es': '', 'default': 'Please leave any questions or comments here that we can answer in the future. (Optional)'};NOTITLE;{'es': '', 'default': 'Do you generally agree with the four Station Area Types identified? <br /><br /> (1 - Strongly Disagree to 5 - Strongly Agree)'};{'es': '', 'default': 'Do you generally agree with the recommended locations for each station type? <br /><br /> (1 - Strongly Disagree to 5 - Strongly Agree)'};NOTITLE;{'es': '', 'default': 'Based on our analysis and community feedback received at the first public meeting and from the community survey, we have identified nine potential station locations. <br /><br /> Which of these potential station areas should be the highest priority? (Select all that apply)'};NOTITLE;{'es': '', 'default': 'The proposed project goals were developed based on our understanding of the corridor needs and prior public input.  Which of the proposed goals do you consider most important for the Campbellton Corridor Transit Project? (Select 3)'};{'es': '¿Cuál de estas áreas potenciales de estación debería ser la prioridad más baja? (Seleccione hasta 3)', 'default': 'Which of these potential station areas should be the lowest priority? (Select up to 3)'};{'es': '', 'default': 'If not, what did we miss?'};{'es': '', 'default': 'If not, what did we miss?'};NOTITLE;NOTITLE
How much it will cost to build?;;;;1;2;;['Ben Hill'];;['Improve Travel Times and Reliability', 'Increase Safety for all Users', 'Increase Access to High-Capacity Transit'];['Ben Hill'];;testing;[];
How will the transit vehicle look and feel?;;;;2;3;;['Willis Mill', 'Willowbend', 'Fort McPherson', 'Oakland City'];;['Improve Travel Times and Reliability', 'Increase Safety for all Users', 'Increase Access to High-Capacity Transit'];['Harbin', 'Willis Mill'];;;[];
How much it will cost to build?;;;;5;4;;['Oakland City', 'Fort McPherson', 'Delowe', 'Greenbriar'];;['Increase Safety for all Users', 'Promote Transit-Supportive Development', 'Improve Travel Times and Reliability'];['Westgate', 'Harbin', 'Willis Mill', 'Willowbend'];;;[];
How soon until we can use it?;;I am less concerned about which mode of high capacity transit is built, and more concerned about securing exclusive RoW. It makes no difference to me if I am in a bus or a train if I am stuck sitting in traffic!;;5;5;;['Greenbriar', 'Delowe', 'Fort McPherson'];;['Improve Travel Times and Reliability', 'Increase Access to High-Capacity Transit', 'Promote Transit-Supportive Development'];['Ben Hill', 'Harbin', 'Willowbend'];;;[];
How will the transit vehicle look and feel?;;;;1;1;;['Oakland City', 'Fort McPherson', 'Greenbriar'];;['Improve Travel Times and Reliability', 'Increase Access to High-Capacity Transit', 'Promote Transit-Supportive Development'];['Delowe', 'Willowbend'];;;[];
How soon until we can use it?;;;;3;5;;['Ben Hill', 'Westgate', 'Delowe', 'Fort McPherson', 'Oakland City'];;['Improve Travel Times and Reliability', 'Increase Access to High-Capacity Transit', 'Promote Transit-Supportive Development'];['Harbin'];;;[];
How soon until we can use it?;;;;5;5;;['Greenbriar', 'Delowe', 'Fort McPherson', 'Oakland City'];;['Increase Access to High-Capacity Transit', 'Promote Transit-Supportive Development', 'Improve Travel Times and Reliability'];['Ben Hill'];;;[];
How soon until we can use it?;;;;3;3;Anything overly residential;['Fort McPherson', 'Oakland City', 'Delowe'];;['Improve Travel Times and Reliability', 'Promote Transit-Supportive Development', 'Increase Access to High-Capacity Transit'];['Willowbend', 'Willis Mill', 'other'];;;[];
How many people can it carry?;;All of the proposed stations should be built. If they cant all be built with the first round of funding, you should choose stations that will maximize use of the as-built system. Transit opponents will want to use low ridership numbers to say this is a failure, and you must not let them.;;5;5;Whichever ones have the smallest expected marginal impact on ridership.;['other', 'Ben Hill', 'Greenbriar', 'Westgate', 'Harbin', 'Willis Mill', 'Delowe', 'Willowbend', 'Fort McPherson', 'Oakland City'];Whichever ones have the largest expected marginal impact on ridership.;['Improve Travel Times and Reliability', 'Increase Access to High-Capacity Transit', 'Promote Transit-Supportive Development'];['other'];;;[];
other;test;;test;5;5;test;['other', 'Oakland City', 'Fort McPherson', 'Willowbend'];test;['other', 'Maximize Financial Resources', 'Minimize Project Design Impacts'];['other'];;;[];
