NOTITLE;Question 9 - How long have you lived in the Streetcar East Extension project area?;NOTITLE;Question 11 - Which bike facility do you prefer?;Question 12 - Please leave any questions or comments here that we can answer in the future. (Optional);Question 6B - Beltline at Ladybird Plan View - Comments/Concerns;Question 6G - Irwin at Beltline Plan View - Comments/Concerns;Question 6C - Beltline at Ponce de Leon Plan View - Comments/Concerns;Question 7 - When thinking about improving transit for the Streetcar East Extension project, what concerns you most? (Select all that apply);Question 4 - Do you support establishing full closure of sections of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route? Select any street sections  below where you would support prioritizing pedestrian/bike/transit movements, by closing access to vehicles.;Question 8 - Choose the categories that best describe you. (Select all that apply);Question 3 - Do you support the partial closure of existing streets from vehicular traffic, to prioritize pedestrian/bike/transit movement in any of the following in-street portions of the proposed route?  For example, between 7-9 a.m., 4-6 p.m. weekdays, or 7 p.m. to midnight on weekends. Select any street  sections below where you would support prioritizing pedestrian/bike/transit movements, by limiting vehicle use.;Question 6H - Auburn at Irwin Stop Extended Bike Couplet Plan View - Comments/Concerns;NOTITLE;Question 6F - Edgewood Avenue Cycle Track Plan View - Comments/Concerns;Question 6D - Beltline at Ralph McGill Plan View - Comments/Concerns;Question 6E - Edgewood Avenue Extended Bike Couplet Plan View - Comments/Concerns;Question 10 - Choose the statement that best describes your transit usage. ;Question 6A - Beltline at Highland Plan View - Comments/Concerns;Question 5A - Where do you think streetcar stops should be located? (Rank them in order of importance, 1 being most important);Question 5B - If other, please describe:;NOTITLE;NOTITLE
ALL, but again, they aren't on my daily routine. They're all way far west.;donotlive;;no-preference;"As I wrote above, when you said EAST, I got excited, thinking that maybe, just maybe, east OTP would get some better transit that could make car usage to shop intown less appealing, and improve transit for folks who routinely have to spend upwards of an hour one-way.  As it is, if I am going to walk almost a mile to the bus stop, wait for the bus to get to the train, wait for the train .... or even drive to Indian Creek, Kensington, or Avondale stations and take the train -- I can just drive intown.  Even knowing I will have to wrestle with parking is less hassle.  I would love to take MARTA more often; I have visited enough places in the world with functioning metros that actually were intended for traffic reduction among all social classes, not just relegated to those who had no other option, that I know how valuable they are.  In England I stayed with a friend at St. Alban's.  Within 3/10 of a mile (my measurement) there was a train station.  That whisked me right into London, and I could walk to the British Library to do my work every day.  I traveled all over San Francisco using BART, and never saw driving as more convenient, even though I had access to a car.  Car usage was about even-Steven with the metro in Portland or Seattle, but the metro was a viable option for almost anything.  But here in the south or southwest -- metro lines were primarily maid and working class lines, and it shows.  (I know the ATL ballooned in the 80s and 90s, so the current metro limits make some sense, and I know those eedjits up in Cobb and down in McDonough fought metro expansion very effectively---which makes current traffic unsustainable and makes me glad I chose to live east. Especially when that section of 85 collapsed a couple of years ago .... All the same, while I am very glad to see expansion, wht about REALLY coming East?  Even better, South east, which is massively underserved?  The rich folks in Kirkwood and intown already have options.) ";;;I was hoping that when you said east you actually meant EAST -- OTP.  All of these areas, to me, are CENTRAL and already very well served by MARTA.  ;['Loss of trees/tree canopy'];['other'];['Employed', 'Commuter'];['other'];;All of those, but they are pretty far WEST of me.;;;;sometimes;;{'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '0', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '3', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.23143271768598, 'y': 33.818926661292544}, {'x': -84.21787146890678, 'y': 33.80773054233178}, {'x': -84.22551040018118, 'y': 33.80801581196119}, {'x': -84.22703223992752, 'y': 33.80792739640498, 'type': 'home'}, {'x': -84.24102264214918, 'y': 33.80967465393702, 'type': 'meet'}, {'x': -84.23231082726882, 'y': 33.80610878434321, 'type': 'play'}, {'x': -84.26209407617011, 'y': 33.87290847019019, 'type': 'work'}];
;morethanayear;;cycle-track;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Edgewood Avenue, between Hillard Street SE and Jackson Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Irwin Street, between Sampson Street and Krog Street'];;;Cycle track needs physical barrier separation from vehicular traffic;;Concern for bicycle safety in buffered lane - This lane would need physical separation from vehicular traffic, and would greatly suggest the cycle track plan be used as opposed to this plan;sometimes;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.37208264685036, 'y': 33.7543519413723}, {'x': -84.37201201883876, 'y': 33.755012778745495}, {'x': -84.36984021534012, 'y': 33.75470818434106}, {'x': -84.37798954558241, 'y': 33.754905741967534}, {'x': -84.37442493694981, 'y': 33.75593052877971}, {'x': -84.37440171121999, 'y': 33.754671819663265}, {'x': -84.37211159846777, 'y': 33.755762677066215}, {'x': -84.35869636244168, 'y': 33.750109378470405, 'type': 'home'}, {'x': -84.38622919008341, 'y': 33.76901373160193, 'type': 'work'}, {'x': -84.36622508403823, 'y': 33.77218897318306, 'type': 'meet'}, {'x': -84.36412653575398, 'y': 33.756961647514224, 'type': 'play'}];
;donotlive;Lack of willpower to make it useful transit service, which would require dedicated lanes for the on-street segments covering at minimum Edgewood and Auburn.;no-preference;;;;;['other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];Needs dedicated lanes;;;;;sometimes;;{'Other': '3', 'Near places with the highest number of jobs': '2', 'Near places with the greatest potential for redevelopment': '6', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '4', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};Connectivity to other high-capacity MARTA transit connections;[{'x': -84.38909977264258, 'y': 33.78270525621039}, {'x': -84.40773039646002, 'y': 33.787762329122266}, {'x': -84.40762713141297, 'y': 33.7906245646812}, {'x': -84.42318930811733, 'y': 33.7729402590605}, {'x': -84.42295327372402, 'y': 33.77442514545877}, {'x': -84.38910983092646, 'y': 33.77774430858653, 'type': 'home'}, {'x': -84.38494033701281, 'y': 33.774603508459876, 'type': 'work'}, {'x': -84.3591871071563, 'y': 33.74683906877182, 'type': 'meet'}, {'x': -84.3548607040153, 'y': 33.76467815768472, 'type': 'play'}];
Completely support this.Transit needs to operate in dedicated right of way as much as possible.;donotlive;I'm concerned that this will never happen.;cycle-track;I hope this is actually built.  If there is any operating light rail on the Beltline before 2030 I will be pleasantly surprised. ;;;;['other'];['other'];['Commuter', 'Employed'];['other'];;Completely support this anytime.;;;;everyday;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[];
;lessthan6months;;couplet;;;;;;['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;everyday;;{'Near places with the highest number of jobs': '1', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '3', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '6'};;[];
;morethanayear;;cycle-track;I think this plan is incredibly outdated and short sighted. If we're planning on the future of transit in the 21st century, why are we betting on tracks? Nobody anticipated the rise of LIT transit or the popularity of bicycles or electric bikes. This is revolutionary. But putting an electrified track with a train through the most popular biking and walking corridor??? What a terrible idea. Please do not do this! Please consider other alternatives.;I do not support this. So many people cross there. It's a beautiful corridor. And you are going to run a train through it? THIS IS A TERRIBLE IDEA. ;I need to know more about this. It already is over-crowded and dangerous. I cannot imagine putting a train here!!! Please do not put a train here. You will kill people!;If you run the train on the OTHER SIDE of PCM, you can connect the train close, using existing streets. Use Glen Iris / Randolph for the train. OR, use a trackless tram on the beltline that can be shared with bikes and is more pedestrian friendluy.;['Construction  impacts (e.g., traffic, business access)', 'Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];I need to know more about this. ;;I need to know more about this. ;I do not like this plan. Too much crossing.;I need to know more about this. I like putting the tram on existing streets. I like having a separated bike lane, but you need to have an obvious way to connect on a bicycle to the beltline.;sometimes;Crossing to the skatepark and 04W park. There's art, there's music. You will destroy the character of one of the most popular parts of the Beltline. I do not like this plan.;{'Other': '1. Reduce conflict with bikes and pedestrrians', 'Near places with the highest number of jobs': '5.', 'Near places with the greatest potential for redevelopment': '5.', 'Near places with the highest number of residents (apartments, condominiums)': '5.', 'Near places with the highest number of destinations (shopping, restaurants, services)': '5.', 'Near places with a high number of community facilities (parks, churches, recreational)': '5.'};DO NOT PUT RAIL ON BELTLINE. Put it on Randolph or existing streets. YOU WILL KILL CHILDREN. Already the beltline is too congested. We need another lane for wheels. Not a train on the most popular pedestrian space.;[{'x': -84.37399357147078, 'y': 33.781086008517256, 'type': 'home'}, {'x': -84.3879410583482, 'y': 33.7766985029277, 'type': 'work'}, {'x': -84.36176269836267, 'y': 33.76153669293239, 'type': 'meet'}, {'x': -84.36317890472253, 'y': 33.76043066769881, 'type': 'play'}];
;morethanayear;Concern is that streetcar is stuck in traffic in the on-street segments.;cycle-track;Please update the existing streetcar alignment to increase reliability and speed. Please attempt to give dedicated ROW to streetcar. Please incorporate streetcar into Marta pricing system, enabling free transfers. Please have a light touch for the safety elements on the Beltline.;;;;['Loss of trees/tree canopy', 'other'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Commuter', 'Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;everyday;;;;[];
;donotlive;;cycle-track;Full street closures on the current streetcar route will make this project would otherswise the this project will never be successful ;;;;;['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed', 'Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;everyday;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '5', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '4'};;[{'x': -84.35871312673595, 'y': 33.76884303801078, 'type': 'play'}, {'x': -84.36372733983171, 'y': 33.75796314438141, 'type': 'meet'}];
;donotlive;;cycle-track;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail', 'Loss of trees/tree canopy'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];['Employed'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;Cycle tracks are great! ;;;sometimes;;{'Other': '', 'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '1', 'Near places with the highest number of destinations (shopping, restaurants, services)': '2', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.3651601652978, 'y': 33.76808112621715, 'type': 'play'}, {'x': -84.36513155681452, 'y': 33.77350359591897, 'type': 'meet'}];
;donotlive;;couplet;;;;;['Impact to pedestrian/cyclist experience on the BeltLine trail'];['Irwin Street, between Sampson Street and Krog Street'];['Student', 'Commuter'];['Irwin Street, between Sampson Street and Krog Street', 'Edgewood Avenue, between Jackson Street and Boulevard SE', 'Edgewood Avenue, between Hillard Street SE and Jackson Street'];;;;;;sometimes;;{'Near places with the highest number of jobs': '3', 'Near places with the greatest potential for redevelopment': '4', 'Near places with the highest number of residents (apartments, condominiums)': '2', 'Near places with the highest number of destinations (shopping, restaurants, services)': '1', 'Near places with a high number of community facilities (parks, churches, recreational)': '5'};;[{'x': -84.35196727104051, 'y': 33.74854910165769}, {'x': -84.33510154075478, 'y': 33.75347327062536}, {'x': -84.28801506070852, 'y': 33.74701529146931}, {'x': -84.3318237003366, 'y': 33.75445455637047, 'type': 'work'}, {'x': -84.34143673744599, 'y': 33.75641698620712, 'type': 'play'}];
